AccessionNumber,ExpeditionKeyword,GlobalID,Taxon,Date,CollectorName,CollectionNumber,OtherCollectors,Provenance,DescriptionOfSpecies,MaterialType,SampledPopulationSize,SampledAreaWidth,SampledAreaLength,SampledAreaUnit,NumberofIndividualsSampled,NumberofSamplesPerIndividual,SamplingMethod,NumberofVouchers,NumberofDNASpecimens,AssociatedSpecies,Country,StateProvince,CountyDistrict,CollectionLocality,LocationDetails,DDLatitude,DDLongitude,GPSAccuracy,Altitude,AltitudeUnit,GeocodeMethod,PropertyOwnershipType,PropertyContactInfo,HabitatGroup,Habitat,SoilTexture,Slope,Exposure,Aspect,PhenologyofPopulation,NotesonHabitatorSoil,OtherCollectionInformation,MotherPlantNum
,,,Aesculus parviflora,,,,,,"Large clonal clumps of woody shrub, rhizomatous. White flowers, salmon anthers, mild sweet scent. Most in bud some in bloom.",,,,,,,,,,,"Aesculus pavia, liquidambar styraciflua, Vitis rotundifolia, Ilex opaca, Quercus alba, Diospyros virginiana, Cornus florida, Quercus arkansana",United States,Georgia,Chattahoochee,Fort Benning,near SE section of Arkansas oak rock hills UEA of Fort Benning,32.31969,-84.65895,,177,Meters,GPS,,,"Woodland, forest and other wooded land",,sandy sloping moist runoff area at base of bluffs,30,Semi shade,,,sandy sloping moist runoff area at base of bluffs,typical clone,GA-CHA-2-1
,,,Aesculus parviflora,,,,,,"Large clonal clumps of woody shrub, rhizomatous. White flowers, salmon anthers, mild sweet scent. Most in bud some in bloom. Clone in full  bloom earlier than the rest of population .",,,,,,,,,,,"Aesculus pavia, liquidambar styraciflua, Vitis rotundifolia, Ilex opaca, Quercus alba, Diospyros virginiana, Cornus florida, Quercus arkansana",United States,Georgia,Chattahoochee,Fort Benning,near SE section of Arkansas oak rock hills UEA of Fort Benning,32.31951,-84.65877,,187,Meters,GPS,,,"Woodland, forest and other wooded land",,sandy sloping moist runoff area at base of bluffs,30,Semi shade,,,sandy sloping moist runoff area at base of bluffs,Early blooming clone,GA-CHA-2-3
,,,Aesculus parviflora,,,,,,"Large clonal clumps of woody shrub, rhizomatous. White flowers, salmon anthers, mild sweet scent. Most in bud some in bloom. Clone with atypical trichotomous cylindrical panicle with bilateral symmetry . (Main panicle with a half length panicle at base on",,,,,,,,,,,"Aesculus pavia, liquidambar styraciflua, Vitis rotundifolia, Ilex opaca, Quercus alba, Diospyros virginiana, Cornus florida, Quercus arkansana",United States,Georgia,Chattahoochee,Fort Benning,near SE section of Arkansas oak rock hills UEA of Fort Benning,32.31951,-84.65877,,187,Meters,GPS,,,"Woodland, forest and other wooded land",,sandy sloping moist runoff area at base of bluffs,30,Semi shade,,,sandy sloping moist runoff area at base of bluffs,branching flower clone,GA-CHA-2-2
,,,Aesculus parviflora,,,,,,"Rhizomatous clump to 15' tall. Whte flowers, salmon anthers, faint sweet smell.",,,,,,,,,,,"Morus rubra, Carex grayi, Smilax sp., Hymenocallis choctawensis, Ulmus alata, Taxodium distichum, Onoclea sensibilis, Sabal minor, Toxicodendron radicans, Cardpinus caroliniana, Planera aquatica, Arundaria gigantea",United States,Alabama,Montogomery,Jackson Creek,"Clump right by Jackson Creek 50' from bridge, E of Gardner rd., E of Bridge, N of River.",31.97133,-86.11964,,156,Meters,GPS,,,"Woodland, forest and other wooded land",,along creek flood plain,,Semi shade,,,along creek flood plain,,AL-MON-1-1
,,,Aesculus parviflora,,,,,,"Rhizomatous shrubs to 10'. One individual at 10'. Some flower spikes, one seed found.",,,,,,,,,,,"Liquidambar styraciflua, Celtis laevigata, Pinus taeda, Rubus sp, Prunus carolina, Carya sp, Carya pallida.",United States,SC,Aiken,Riverview Park Recreation Center,"Behind center, down service path to old water treatment plant intake, NE side of path near entrance to path.",33.50144,-81.98873,,195,Feet,,Local/Public-City,,"Woodland, forest and other wooded land",,"On ridge and slope, SW and NE slope",0-25,Shade,,,"On ridge and slope, SW and NE slope","Divisions taken from random but regulary spaced individuals, to ensure thorough genetic representation.",SC-AIK-1-3
,,,Aesculus parviflora,,,,,,"Rhizomatous shrubs to 7', forming large loose clumps. Light green leaves with yellow veination. Seed set rare, 1 seed per flower stalk. ~6 seed total. Flower and seed set limited to sunniest spots.",,,,,,,,,,,"Callicarpa americana, Quercus alba, Quercus rubra, Acer barbatum, Morus rubra, Elaeagnus sp, Tradescantia sp, Carya sp, Celtis sp, Tillandsia unenoides, Platanus occidentalis",United States,SC,Aiken,Riverview Park Recreation Center,"Behind center, Down service path to old water treatment plant intake, NE side of path.",33.50228,-81.98963,,143,Feet,GPS,Local/Public-City,,"Woodland, forest and other wooded land",,"Loam, rich organic soil, well draining, loose. Population down slope to stream and up other side. Soil sandier on ridge by pathe and clay loam on bottom of slope near stream.",25-May,Shade,,,"Loam, rich organic soil, well draining, loose. Population down slope to stream and up other side. Soil sandier on ridge by pathe and clay loam on bottom of slope near stream.","Divisions taken from random but regulary spaced individuals, to ensure thorough genetic representation.",SC-AIK-1-1
,,,Aesculus parviflora,,,,,,"Rhizomatous shrubs to 7', forming large loose clumps. Light green leaves with yellow veination. Seed set rare, 1 seed per flower stalk. Only one spent flower stalk and seed found .",,,,,,,,,,,"Callicarpa americana, Quercus alba, Acer barbatum, Morus rubra, Elaeagnus sp, Tradescantia sp, Carya sp, Quercus shumardii, Celtis sp, Tillandsia usneoides, Platanus occidentalis, Parthenocissus quinquefolia.",United States,SC,Aiken,Riverview Park Recreation Center,"Behind center, Down service path to old water treatment plant intake, SW side of path.",33.50185,-81.98961,,151,Feet,,Local/Public-City,,"Woodland, forest and other wooded land",,Down SW slope toward savannah river,25,Shade,,,Down SW slope toward savannah river,"Divisions taken from random but regularly spaced individuals, to ensure thorough genetic representation.",SC-AIK-1-2
,,,Aesculus parviflora,,,,,,Rhizomatous shrubs to 8'. Some flower stalks. Seed stalks with 1 to 2 on each.  Flower and seed set limited to sunniest spots.,,,,,,,,,,,"Acer barbatum, Quercus shumardii, Liriodendron tulipifera, ostrya virginiana, Quercus alba, Fagus sp.",United States,South Carolina,Aiken,Savannah River Bluffs Heritage Preserve,"Up upper creek path, veer right through woods to stram and bluffs",33.52401,-82.00462,,198,Feet,,Local/Public-City,,"Woodland, forest and other wooded land",,"Both sides of steep creek ravine, covering over half an acre. Common and dense in this area, not found elsewhere. Very large population, 1000+ individuals.",0-35,Semi shade,,,"Both sides of steep creek ravine, covering over half an acre. Common and dense in this area, not found elsewhere. Very large population, 1000+ individuals.","Divisions taken from random but regularly spaced individuals, to ensure thorough genetic representation.",SC-AIK-2-1
,,,Aesculus parviflora,,,,,,"Small woody shrub, to 3' tall, rarely to 8'. Rhizomatous, densely spreading, forming large ground cover colonies. Specimens along roadside in sun in bud, forming long cylindricle panicles of white flowers.",,,,,,,,,,,"Acer saccharum, Ulmus sp., Quercus rubra, geranium maculatum, Quercus alba, Calicarpa americana, Acer negundo, Hexastylis arifolium, trillium sp., Fraxinus pensylvanica.",United States,Alabama,Walker,"Near Oakman, AL, 2 miles N of Tuscaloosa county line","W of AL 69, S of Bridge, Just off road in woods",33.62286,-87.36376,,108,Meters,GPS,,,"Woodland, forest and other wooded land",,"soil rich organic loam, filled with grave. Rich mesic woods on slope, population trailing down slope to stream and ravine and back up E facing slope",45,Semi shade,,,"soil rich organic loam, filled with grave. Rich mesic woods on slope, population trailing down slope to stream and ravine and back up E facing slope",,AL-WAL-1-1
,,,Aesculus parviflora,,,,,,"Woody shrub to 10' tall, tree like open form, rhizomatous loosely spreading, forming large colonies. Rhizomes running along and just under soil surface. Cylindrical panicles of white flowers, salmon anthers. Up to 20 panicles per tree. One individual in f",,,,,,,,,,,"Arisaema quinatum, Asarum arifolium, Acer Saccharum var. floridanum, Carpinus caroliniana, Carya sp, Yucca flaccida, Smilax sp., Passiflora lutea, Asarum shuttleworthii, Hepatica americana, Trillium sp., Crataegus marshallii, Aesculus pavia, Quercus bicol",United States,Alabama,Tuscaloosa,Rocky Branch public use area,"E of Rocky Branch road before you get to pay area booth, Near blue  ""caution water main sign, near ravine.",33.27528,-87.41355,,66,Meters,GPS,,,"Woodland, forest and other wooded land",,"sloping woodland of red clay alluvial soil, steep 15' ravine cut along slope bisecting population",40,Semi shade,,,"sloping woodland of red clay alluvial soil, steep 15' ravine cut along slope bisecting population",Clone N of Ravine,AL-TUS-1-2
