"DDLatitude"	"DDLongitude"	"OccurrenceTableName"	"OccurrenceID"	"Taxon"	"OccurrenceDate"	"Habitat"	"LocationName"	"LocationDetails"	"CoordinateUncertaintyDistance"	"CoordinateUncertaintyUnit"	"GeoreferenceRemarks"	"Country"	"StateProvince"	"EORank"	"Collector"	"PhenologyNotes"	"Notes"
"32.67280"	"-86.78720"	"MortonGapAnalysis_Quercus_arkanasana"	"99"	"Quercus arkansana"	1/1/2003 0:00:00		"Chilton"	"Chilton (AL); USA"			"NA"	"United States"	"Alabama"				
"30.54939"	"-86.19434"	"MortonGapAnalysis_Quercus_arkanasana"	"98"	"Quercus arkansana"	1/1/2009 0:00:00		"Walton"	"Eglin Air Force Base; Walton County; Florida; USA"			"NA"	"United States"	"Florida"				
"31.78944"	"-85.89250"	"MortonGapAnalysis_Quercus_arkanasana"	"97"	"Quercus arkansana"	1/1/2011 0:00:00		"Pike"	"Pike County; Alabama"			"NA"	"United States"	"Alabama"				
"31.78972"	"-85.89306"	"MortonGapAnalysis_Quercus_arkanasana"	"96"	"Quercus arkansana"	1/1/2011 0:00:00		"Pike"	"Pike County; Alabama"			"NA"	"United States"	"Alabama"				
"31.94119"	"-92.64130"	"MortonGapAnalysis_Quercus_arkanasana"	"95"	"Quercus arkansana"			"NA"	"Winn Parish; Louisiana; USA"			"NA"	"United States"	"NA"				
"31.56021"	"-93.55920"	"MortonGapAnalysis_Quercus_arkanasana"	"94"	"Quercus arkansana"			"NA"	"Sabine Parish; Louisiana; USA"			"NA"	"United States"	"NA"				
"33.29681"	"-88.09690"	"MortonGapAnalysis_Quercus_arkanasana"	"93"	"Quercus arkansana"			"Pickens"	"Pickens County; Alabama; USA"			"NA"	"United States"	"Alabama"				
"31.73498"	"-93.08610"	"MortonGapAnalysis_Quercus_arkanasana"	"92"	"Quercus arkansana"			"NA"	"Natchitoches Parish; Louisiana; USA"			"NA"	"United States"	"NA"				
"30.38880"	"-85.19790"	"MortonGapAnalysis_Quercus_arkanasana"	"91"	"Quercus arkansana"			"Calhoun"	"Calhoun County; Florida; USA"			"NA"	"United States"	"Florida"				
"32.69620"	"-93.61800"	"MortonGapAnalysis_Quercus_arkanasana"	"90"	"Quercus arkansana"			"NA"	"Bossier Parish; Louisiana; USA"			"NA"	"United States"	"NA"				
"31.77118"	"-84.94301"	"MortonGapAnalysis_Quercus_arkanasana"	"9"	"Quercus arkansana"	1/1/1995 0:00:00		"Randolph"	"ca. 9 miles W of Cuthbert; in sandy woodlands S of Hwy 82; Randolph; Georgia; sandy woodlands"	3000.00	"m"	"GeoLocate"	"United States"	"Georgia"				
"33.56137"	"-94.79379"	"MortonGapAnalysis_Quercus_arkanasana"	"89"	"Quercus arkansana"	1/1/1959 0:00:00		"Red River"	"1 mile NW of Avery; Red River County; Texas; USA (assigned point based on site directions)"			"NA"	"United States"	"Texas"				
"33.77000"	"-93.83420"	"MortonGapAnalysis_Quercus_arkanasana"	"88"	"Quercus arkansana"	1/1/1961 0:00:00		"Howard"	"POISON SPRINGS STATE FOREST;"			"NA"	"United States"	"Arkansas"				
"33.07944"	"-93.90030"	"MortonGapAnalysis_Quercus_arkanasana"	"87"	"Quercus arkansana"	1/1/1972 0:00:00		"Miller"	"CHIDESTER; Miller County ; AR; US"			"NA"	"United States"	"Arkansas"				
"32.15000"	"-84.60520"	"MortonGapAnalysis_Quercus_arkanasana"	"86"	"Quercus arkansana"	1/1/1984 0:00:00		"Webster"	"Webster County; GA"			"NA"	"United States"	"Georgia"				
"31.95000"	"-85.06410"	"MortonGapAnalysis_Quercus_arkanasana"	"85"	"Quercus arkansana"	1/1/1984 0:00:00		"Quitman"	"Quitman County; GA"			"NA"	"United States"	"Georgia"				
"32.25555"	"-84.63470"	"MortonGapAnalysis_Quercus_arkanasana"	"84"	"Quercus arkansana"	1/1/1984 0:00:00		"Marion"	"Marion County; GA"			"NA"	"United States"	"Georgia"				
"31.52972"	"-84.95500"	"MortonGapAnalysis_Quercus_arkanasana"	"83"	"Quercus arkansana"	1/1/1984 0:00:00		"Clay"	"Clay County; GA"			"NA"	"United States"	"Georgia"				
"32.65166"	"-81.79380"	"MortonGapAnalysis_Quercus_arkanasana"	"82"	"Quercus arkansana"	1/1/1989 0:00:00		"Screven"	"Screven/ Bulloch County; GA"			"NA"	"United States"	"Georgia"				
"31.79395"	"-85.15366"	"MortonGapAnalysis_Quercus_arkanasana"	"81"	"Quercus arkansana"	1/1/1992 0:00:00		"Barbour"	"Barbour County; Alabama"			"NA"	"United States"	"Alabama"				
"30.47440"	"-86.92186"	"MortonGapAnalysis_Quercus_arkanasana"	"80"	"Quercus arkansana"	1/1/1994 0:00:00		"Santa Rosa"	"Eglin Air Force Base; Santa Rosa County; Florida; USA"			"NA"	"United States"	"Florida"				
"30.56555"	"-86.53666"	"MortonGapAnalysis_Quercus_arkanasana"	"8"	"Quercus arkansana"	1/1/1997 0:00:00		"Okaloosa"	"Eglin Air Force Base; 0.6 mi. west of State Route 85 on local route 232 at Turkey Creek.; Okaloosa; Florida"			"NA"	"United States"	"Florida"				
"32.97738"	"-94.04553"	"MortonGapAnalysis_Quercus_arkanasana"	"79"	"Quercus arkansana"	1/1/1995 0:00:00		"Cass"	"Cass County Road 4561 5km NE of McLeod; Cass County; Texas; USA (assigned point based on site directions)"			"NA"	"United States"	"Texas"				
"33.69056"	"-93.84440"	"MortonGapAnalysis_Quercus_arkanasana"	"78"	"Quercus arkansana"	1/1/1997 0:00:00		"Hempstead"	"CHIDESTER; Hempstead County ; AR; US"			"NA"	"United States"	"Arkansas"				
